PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,3,0,2,1,0,0,3
2,1,1,4,1,0,0,1
3,3,1,3,0,0,0,3
4,1,1,4,1,0,0,3
5,3,0,4,0,0,0,3
6,3,0,0,0,0,0,3
7,1,0,5,0,0,0,3
8,3,0,0,3,1,0,3
9,3,1,3,0,2,0,3
10,2,1,1,1,0,0,1
11,3,1,0,1,1,0,3
12,1,1,6,0,0,0,3
13,3,0,2,0,0,0,3
14,3,0,4,1,5,0,3
15,3,1,1,0,0,0,3
16,2,1,6,0,0,0,3
17,3,0,0,4,1,0,2
18,2,0,0,0,0,0,3
19,3,1,3,1,0,0,3
20,3,1,0,0,0,0,1
21,2,0,4,0,0,0,3
22,2,0,3,0,0,0,3
23,3,1,2,0,0,0,2
24,1,0,3,0,0,0,3
25,3,1,1,3,1,0,3
26,3,1,4,1,5,0,3
27,3,0,0,0,0,0,1
28,1,0,2,3,2,0,3
29,3,1,0,0,0,0,2
30,3,0,0,0,0,0,3
31,1,0,4,0,0,0,1
32,1,1,0,1,0,0,1
33,3,1,0,0,0,0,2
34,2,0,7,0,0,0,3
35,1,0,3,1,0,0,1
36,1,0,4,1,0,0,3
37,3,0,0,0,0,0,1
38,3,0,2,0,0,0,3
39,3,1,2,2,0,0,3
40,3,1,1,1,0,0,1
41,3,1,4,1,0,0,3
42,2,1,3,1,0,0,3
43,3,0,0,0,0,0,1
44,2,1,0,1,2,0,1
45,3,1,2,0,0,0,2
46,3,0,0,0,0,0,3
47,3,0,0,1,0,0,2
48,3,1,0,0,0,0,2
49,3,0,0,2,0,0,1
50,3,1,2,1,0,0,3
51,3,0,1,4,1,0,3
52,3,0,2,0,0,0,3
53,1,1,5,1,0,0,1
54,2,1,3,1,0,0,3
55,1,0,7,0,1,0,1
56,1,0,0,0,0,0,3
57,2,1,2,0,0,0,3
58,3,0,3,0,0,0,1
59,2,1,1,1,2,0,3
60,3,0,1,5,2,0,3
61,3,0,2,0,0,0,1
62,1,1,4,0,0,0,
63,1,0,5,1,0,0,3
64,3,0,0,3,2,0,3
65,1,0,0,0,0,0,1
66,3,0,0,1,1,0,1
67,2,1,3,0,0,0,3
68,3,0,2,0,0,0,3
69,3,1,2,4,2,0,3
70,3,0,3,2,0,0,3
71,2,0,3,0,0,0,3
72,3,1,2,5,2,0,3
73,2,0,2,0,0,0,3
74,3,0,3,1,0,0,1
75,3,0,3,0,0,0,3
76,3,0,3,0,0,0,3
77,3,0,0,0,0,0,3
78,3,0,0,0,0,0,3
79,2,0,0,0,2,0,3
80,3,1,3,0,0,0,3
81,3,0,2,0,0,0,3
82,3,0,3,0,0,0,3
83,3,1,0,0,0,0,2
84,1,0,3,0,0,0,3
85,2,1,2,0,0,0,3
86,3,1,3,3,0,0,3
87,3,0,2,1,3,0,3
88,3,0,0,0,0,0,3
89,1,1,2,3,2,0,3
90,3,0,2,0,0,0,3
91,3,0,3,0,0,0,3
92,3,0,2,0,0,0,3
93,1,0,5,1,0,0,3
94,3,0,3,1,2,0,3
95,3,0,6,0,0,0,3
96,3,0,0,0,0,0,3
97,1,0,7,0,0,0,1
98,1,0,2,0,1,0,1
99,2,1,3,0,1,0,3
100,2,0,3,1,0,0,3
101,3,1,3,0,0,0,3
102,3,0,0,0,0,0,3
103,1,0,2,0,1,0,3
104,3,0,3,0,0,0,3
105,3,0,4,2,0,0,3
106,3,0,3,0,0,0,3
107,3,1,2,0,0,0,3
108,3,0,0,0,0,0,3
109,3,0,4,0,0,0,3
110,3,1,0,1,0,0,2
111,1,0,5,0,0,0,3
112,3,1,2,1,0,0,1
113,3,0,2,0,0,0,3
114,3,1,2,1,0,0,3
115,3,1,2,0,0,0,1
116,3,0,2,0,0,0,3
117,3,0,7,0,0,0,2
118,2,0,3,1,0,0,3
119,1,0,2,0,1,0,1
120,3,1,0,4,2,0,3
121,2,0,2,2,0,0,3
122,3,0,0,0,0,0,3
123,2,0,3,1,0,0,1
124,2,1,3,0,0,0,3
125,1,0,5,0,1,0,3
126,3,0,1,1,0,0,1
127,3,0,0,0,0,0,2
128,3,0,2,0,0,0,3
129,3,1,0,1,1,0,1
130,3,0,5,0,0,0,3
131,3,0,3,0,0,0,1
132,3,0,2,0,0,0,3
133,3,1,5,1,0,0,3
134,2,1,3,1,0,0,3
135,2,0,3,0,0,0,3
136,2,0,2,0,0,0,1
137,1,1,2,0,2,0,3
138,1,0,4,1,0,0,3
139,3,0,2,0,0,0,3
140,1,0,2,0,0,0,1
141,3,1,0,0,2,0,1
142,3,1,2,0,0,0,3
143,3,1,2,1,0,0,3
144,3,0,2,0,0,0,2
145,2,0,2,0,0,0,3
146,2,0,2,1,1,0,3
147,3,0,3,0,0,0,3
148,3,1,1,2,2,0,3
149,2,0,4,0,2,0,3
150,2,0,4,0,0,0,3
151,2,0,5,0,0,0,3
152,1,1,2,1,0,0,3
153,3,0,6,0,0,0,3
154,3,0,4,0,2,0,3
155,3,0,0,0,0,0,3
156,1,0,5,0,1,0,1
157,3,1,2,0,0,0,2
158,3,0,3,0,0,0,3
159,3,0,0,0,0,0,3
160,3,0,0,8,2,0,3
161,3,0,4,0,1,0,3
162,2,1,4,0,0,0,3
163,3,0,3,0,0,0,3
164,3,0,2,0,0,0,3
165,3,0,0,4,1,0,3
166,3,0,1,0,2,0,3
167,1,1,0,0,1,0,3
168,3,1,5,1,4,0,3
169,1,0,0,0,0,0,3
170,3,0,3,0,0,0,3
171,1,0,6,0,0,0,3
172,3,0,0,4,1,0,2
173,3,1,0,1,1,0,3
174,3,0,2,0,0,0,3
175,1,0,6,0,0,0,1
176,3,0,2,1,1,0,3
177,3,0,0,3,1,0,3
178,1,1,5,0,0,0,1
179,2,0,3,0,0,0,3
180,3,0,4,0,0,0,3
181,3,1,0,8,2,0,3
182,2,0,0,0,0,0,1
183,3,0,1,4,2,0,3
184,2,0,0,2,1,0,3
185,3,1,0,0,2,0,3
186,1,0,0,0,0,0,3
187,3,1,0,1,0,0,2
188,1,0,5,0,0,0,3
189,3,0,4,1,1,0,2
190,3,0,4,0,0,0,3
191,2,1,3,0,0,0,3
192,2,0,2,0,0,0,3
193,3,1,2,1,0,0,3
194,2,0,0,1,1,0,3
195,1,1,4,0,0,0,1
196,1,1,6,0,0,0,1
197,3,0,0,0,0,0,2
198,3,0,4,0,1,0,3
199,3,1,0,0,0,0,2
200,2,1,2,0,0,0,3
201,3,0,3,0,0,0,3
202,3,0,0,8,2,0,3
203,3,0,3,0,0,0,3
204,3,0,5,0,0,0,1
205,3,0,2,0,0,0,3
206,3,1,0,0,1,0,3
207,3,0,3,1,0,0,3
208,3,0,3,0,0,0,1
209,3,1,2,0,0,0,2
210,1,0,4,0,0,0,1
211,3,0,2,0,0,0,3
212,2,1,4,0,0,0,3
213,3,0,2,0,0,0,3
214,2,0,3,0,0,0,3
215,3,0,0,1,0,0,2
216,1,1,3,1,0,0,1
217,3,1,3,0,0,0,3
218,2,0,4,1,0,0,3
219,1,1,3,0,0,0,1
220,2,0,3,0,0,0,3
221,3,0,2,0,0,0,3
222,2,0,3,0,0,0,3
223,3,0,5,0,0,0,3
224,3,0,0,0,0,0,3
225,1,0,4,1,0,0,3
226,3,0,2,0,0,0,3
227,2,0,2,0,0,0,3
228,3,0,2,0,0,0,3
229,2,0,2,0,0,0,3
230,3,1,0,3,1,0,3
231,1,1,4,1,0,0,3
232,3,0,3,0,0,0,3
233,2,0,6,0,0,0,3
234,3,1,1,4,2,0,3
235,2,0,2,0,0,0,3
236,3,1,0,0,0,0,3
237,2,0,4,1,0,0,3
238,2,1,1,0,2,0,3
239,2,0,2,0,0,0,3
240,2,0,3,0,0,0,3
241,3,1,0,1,0,0,1
242,3,1,0,1,0,0,2
243,2,0,3,0,0,0,3
244,3,0,2,0,0,0,3
245,3,0,3,0,0,0,1
246,1,0,4,2,0,0,2
247,3,1,3,0,0,0,3
248,2,1,2,0,2,0,3
249,1,0,4,1,1,0,3
250,2,0,5,1,0,0,3
251,3,0,0,0,0,0,3
252,3,1,3,1,1,0,3
253,1,0,6,0,0,0,3
254,3,0,3,1,0,0,3
255,3,1,4,0,2,0,3
256,3,1,3,0,2,0,1
257,1,1,0,0,0,0,1
258,1,1,3,0,0,0,3
259,1,1,4,0,0,0,1
260,2,1,5,0,1,0,3
261,3,0,0,0,0,0,2
262,3,0,0,4,2,0,3
263,1,0,5,1,1,0,3
264,1,0,4,0,0,0,3
265,3,1,0,0,0,0,2
266,2,0,4,0,0,0,3
267,3,0,2,4,1,0,3
268,3,0,3,1,0,0,3
269,1,1,6,0,1,0,3
270,1,1,4,0,0,0,3
271,1,0,0,0,0,0,3
272,3,0,3,0,0,0,3
273,2,1,4,0,1,0,3
274,1,0,4,0,1,0,1
275,3,1,0,0,0,0,2
276,1,1,6,1,0,0,3
277,3,1,5,0,0,0,3
278,2,0,0,0,0,0,3
279,3,0,1,4,1,0,2
280,3,1,4,1,1,0,3
281,3,0,7,0,0,0,2
282,3,0,3,0,0,0,3
283,3,0,2,0,0,0,3
284,3,0,2,0,0,0,3
285,1,0,0,0,0,0,3
286,3,0,3,0,0,0,1
287,3,0,3,0,0,0,3
288,3,0,2,0,0,0,3
289,2,0,4,0,0,0,3
290,3,1,2,0,0,0,2
291,1,1,3,0,0,0,3
292,1,1,2,1,0,0,1
293,2,0,4,0,0,0,1
294,3,1,2,0,0,0,3
295,3,0,2,0,0,0,3
296,1,0,0,0,0,0,1
297,3,0,2,0,0,0,1
298,1,1,0,1,2,0,3
299,1,0,0,0,0,0,3
300,1,1,5,0,1,0,1
301,3,1,0,0,0,0,2
302,3,0,0,2,0,0,2
303,3,0,2,0,0,0,3
304,2,1,0,0,0,0,2
305,3,0,0,0,0,0,3
306,1,0,0,1,2,0,3
307,1,1,0,0,0,0,1
308,1,1,2,1,0,0,1
309,2,0,3,1,0,0,1
310,1,1,3,0,0,0,1
311,1,1,2,0,0,0,1
312,1,1,2,2,2,0,1
313,2,1,3,1,1,0,3
314,3,0,3,0,0,0,3
315,2,0,4,1,1,0,3
316,3,1,3,0,0,0,3
317,2,1,2,1,0,0,3
318,2,0,5,0,0,0,3
319,1,1,3,0,2,0,3
320,1,1,4,1,1,0,1
321,3,0,2,0,0,0,3
322,3,0,3,0,0,0,3
323,2,1,3,0,0,0,2
324,2,1,2,1,1,0,3
325,3,0,0,8,2,0,3
326,1,1,4,0,0,0,1
327,3,0,6,0,0,0,3
328,2,1,4,0,0,0,3
329,3,1,3,1,1,0,3
330,1,1,2,0,1,0,1
331,3,1,0,2,0,0,2
332,1,0,5,0,0,0,3
333,1,0,4,0,1,0,3
334,3,0,2,2,0,0,3
335,1,1,0,1,0,0,3
336,3,0,0,0,0,0,3
337,1,0,3,1,0,0,3
338,1,1,4,0,0,0,1
339,3,0,5,0,0,0,3
340,1,0,5,0,0,0,3
341,2,0,0,1,1,0,3
342,1,1,2,3,2,0,3
343,2,0,3,0,0,0,3
344,2,0,3,0,0,0,3
345,2,0,4,0,0,0,3
346,2,1,2,0,0,0,3
347,2,1,4,0,0,0,3
348,3,1,0,1,0,0,3
349,3,0,0,1,1,0,3
350,3,0,4,0,0,0,3
351,3,0,2,0,0,0,3
352,1,0,0,0,0,0,3
353,3,0,2,1,1,0,1
354,3,0,3,1,0,0,3
355,3,0,0,0,0,0,1
356,3,0,3,0,0,0,3
357,1,1,2,0,1,0,3
358,2,1,4,0,0,0,3
359,3,1,0,0,0,0,2
360,3,1,0,0,0,0,2
361,3,0,4,1,4,0,3
362,2,0,3,1,0,0,1
363,3,1,5,0,1,0,1
364,3,0,4,0,0,0,3
365,3,0,0,1,0,0,2
366,3,0,3,0,0,0,3
367,1,1,6,1,0,0,1
368,3,1,0,0,0,0,1
369,3,1,0,0,0,0,2
370,1,1,2,0,0,0,1
371,1,0,3,1,0,0,1
372,3,0,2,1,0,0,3
373,3,0,2,0,0,0,3
374,1,0,2,0,0,0,1
375,3,1,0,3,1,0,3
376,1,1,0,1,0,0,1
377,3,1,2,0,0,0,3
378,1,0,3,0,2,0,1
379,3,0,2,0,0,0,1
380,3,0,2,0,0,0,3
381,1,1,4,0,0,0,1
382,3,1,0,0,2,0,1
383,3,0,3,0,0,0,3
384,1,1,4,1,0,0,3
385,3,0,0,0,0,0,3
386,2,0,2,0,0,0,3
387,3,0,0,5,2,0,3
388,2,1,4,0,0,0,3
389,3,0,0,0,0,0,2
390,2,1,2,0,0,0,1
391,1,0,4,1,2,0,3
392,3,0,2,0,0,0,3
393,3,0,3,2,0,0,3
394,1,1,2,1,0,0,1
395,3,1,2,0,2,0,3
396,3,0,2,0,0,0,3
397,3,1,3,0,0,0,3
398,2,0,5,0,0,0,3
399,2,0,2,0,0,0,3
400,2,1,3,0,0,0,3
401,3,0,4,0,0,0,3
402,3,0,3,0,0,0,3
403,3,1,2,1,0,0,3
404,3,0,3,1,0,0,3
405,3,1,2,0,0,0,3
406,2,0,3,1,0,0,3
407,3,0,5,0,0,0,3
408,2,0,0,1,1,0,3
409,3,0,2,0,0,0,3
410,3,1,0,3,1,0,3
411,3,0,0,0,0,0,3
412,3,0,0,0,0,0,2
413,1,1,3,1,0,0,2
414,2,0,0,0,0,0,3
415,3,0,4,0,0,0,3
416,3,1,0,0,0,0,3
417,2,1,3,1,1,0,3
418,2,1,2,0,2,0,3
419,2,0,3,0,0,0,3
420,3,1,1,0,2,0,3
421,3,0,0,0,0,0,1
422,3,0,2,0,0,0,2
423,3,0,3,0,0,0,3
424,3,1,3,1,1,0,3
425,3,0,2,1,1,0,3
426,3,0,0,0,0,0,3
427,2,1,3,1,0,0,3
428,2,1,2,0,0,0,3
429,3,0,0,0,0,0,2
430,3,0,3,0,0,0,3
431,1,0,3,0,0,0,3
432,3,1,0,1,0,0,3
433,2,1,4,1,0,0,3
434,3,0,2,0,0,0,3
435,1,0,5,1,0,0,3
436,1,1,1,1,2,0,3
437,3,1,2,2,2,0,3
438,2,1,2,2,3,0,3
439,1,0,6,1,4,0,3
440,2,0,3,0,0,0,3
441,2,1,5,1,1,0,3
442,3,0,2,0,0,0,3
443,3,0,3,1,0,0,3
444,2,1,3,0,0,0,3
445,3,0,0,0,0,0,3
446,1,0,0,0,2,0,3
